symbol,name,industry,ISIN_code
RAIN,Rain Industries Ltd,CHEMICALS,INE855B01025
RAJESHEXPO,Rajesh Exports Ltd.,CONSUMER GOODS,INE343B01030
RALLIS,Rallis India Ltd.,FERTILISERS & PESTICIDES,INE613A01020
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,INE331A01037
RAMCOSYS,Ramco Systems Ltd.,IT,INE246B01019
RAYMOND,Raymond Ltd.,TEXTILES,INE301A01014
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES,INE976G01028
RCF,Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,INE027A01015
RCOM,Reliance Communications Ltd.,TELECOM,INE330H01018
RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL SERVICES,INE020B01018
REDINGTON,Redington (India) Ltd.,SERVICES,INE891D01026
RELAXO,Relaxo Footwears Ltd.,CONSUMER GOODS,INE131B01039
RELCAPITAL,Reliance Capital Ltd.,FINANCIAL SERVICES,INE013A01015
RELIANCE,Reliance Industries Ltd.,ENERGY,INE002A01018
RELIGARE,Religare Enterprises Ltd.,FINANCIAL SERVICES,INE621H01010
RELINFRA,Reliance Infrastructure Ltd.,ENERGY,INE036A01016
RENUKA,Shree Renuka Sugars Ltd.,CONSUMER GOODS,INE087H01022
REPCOHOME,Repco Home Finance Ltd.,FINANCIAL SERVICES,INE612J01015
RHFL,Reliance Home Finance Ltd.,FINANCIAL SERVICES,INE217K01011
RKFORGE,Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,INE399G01015
RNAVAL,Reliance Naval and Engineering Ltd.,INDUSTRIAL MANUFACTURING,INE542F01012
RPOWER,Reliance Power Ltd.,ENERGY,INE614G01033
RTNPOWER,RattanIndia Power Ltd.,ENERGY,INE399K01017
RUPA,Rupa & Company Ltd.,TEXTILES,INE895B01021
SADBHAV,Sadbhav Engineering Ltd.,CONSTRUCTION,INE226H01026
SADBHIN,Sadbhav Infrastructure Project Ltd.,CONSTRUCTION,INE764L01010
SAIL,Steel Authority of India Ltd.,METALS,INE114A01011
SANOFI,Sanofi India Ltd.,PHARMA,INE058A01010
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,INE123W01016
SBIN,State Bank of India,FINANCIAL SERVICES,INE062A01020
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,INE513A01014
SCI,Shipping Corporation of India Ltd.,SERVICES,INE109A01011
SFL,Sheela Foam Ltd.,CONSUMER GOODS,INE916U01025
SHANKARA,Shankara Building Products Ltd.,METALS,INE274V01019
SHK,S H Kelkar and Company Ltd.,CONSUMER GOODS,INE500L01026
SHOPERSTOP,Shoppers Stop Ltd.,CONSUMER GOODS,INE498B01024
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,INE070A01015
SHRIRAMCIT,Shriram City Union Finance Ltd.,FINANCIAL SERVICES,INE722A01011
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,INE003A01024
SIS,Security and Intelligence Services (India) Ltd.,SERVICES,INE285J01010
SJVN,SJVN Ltd.,ENERGY,INE002L01015
SKFINDIA,SKF India Ltd.,INDUSTRIAL MANUFACTURING,INE640A01023
SMLISUZU,SML Isuzu Ltd.,AUTOMOBILE,INE294B01019
SOBHA,Sobha Ltd.,CONSTRUCTION,INE671H01015
SOLARINDS,Solar Industries India Ltd.,CHEMICALS,INE343H01029
SONATSOFTW,Sonata Software Ltd.,IT,INE269A01021
SOUTHBANK,South Indian Bank Ltd.,FINANCIAL SERVICES,INE683A01023
SPARC,Sun Pharma Advanced Research Company Ltd.,PHARMA,INE232I01014
SPTL,Sintex Plastics Technology Ltd.,INDUSTRIAL MANUFACTURING,INE501W01021
SREINFRA,SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,INE872A01014
SRF,SRF Ltd.,TEXTILES,INE647A01010
SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,INE721A01013
STARCEMENT,Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,INE460H01021
STRTECH,Sterlite Technologies Ltd.,TELECOM,INE089C01029
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,CHEMICALS,INE659A01023
SUNDRMFAST,Sundram Fasteners Ltd.,AUTOMOBILE,INE387A01021
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,INE044A01036
SUNTECK,Sunteck Realty Ltd.,CONSTRUCTION,INE805D01034
SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,INE424H01027
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,INE195A01028
SUVEN,Suven Life Sciences Ltd.,PHARMA,INE495B01038
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,INE040H01021
SWANENERGY,Swan Energy Ltd.,TEXTILES,INE665A01038
SYMPHONY,Symphony Ltd.,CONSUMER GOODS,INE225D01027
SYNDIBANK,Syndicate Bank,FINANCIAL SERVICES,INE667A01018
SYNGENE,Syngene International Ltd.,PHARMA,INE398R01022
TAKE,Take Solutions Ltd.,IT,INE142I01023
TATACHEM,Tata Chemicals Ltd.,CHEMICALS,INE092A01019
TATACOFFEE,Tata Coffee Ltd.,CONSUMER GOODS,INE493A01027
TATAELXSI,Tata Elxsi Ltd.,IT,INE670A01012
TATAGLOBAL,Tata Global Beverages Ltd.,CONSUMER GOODS,INE192A01025
TATAINVEST,Tata Investment Corporation Ltd.,FINANCIAL SERVICES,INE672A01018
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,INE155A01022
TATAMTRDVR,Tata Motors Ltd DVR,AUTOMOBILE,IN9155A01020
TATAPOWER,Tata Power Co. Ltd.,ENERGY,INE245A01021
TATASPONGE,Tata Sponge Iron Ltd.,METALS,INE674A01014
TATASTEEL,Tata Steel Ltd.,METALS,INE081A01012
TCS,Tata Consultancy Services Ltd.,IT,INE467B01029
TECHM,Tech Mahindra Ltd.,IT,INE669C01036
TECHNO,Techno Elt & Eng Co. Ltd.,CONSTRUCTION,INE286K01024
TEXRAIL,Texmaco Rail & Eng. Ltd.,INDUSTRIAL MANUFACTURING,INE621L01012
THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING,INE152A01029
THOMASCOOK,Thomas Cook (India) Ltd.,SERVICES,INE332A01027
THYROCARE,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,INE594H01019
TIFIN,TI Financial Holdings Ltd.,FINANCIAL SERVICES,INE149A01033
TIINDIA,Tube Investments of India Ltd.,AUTOMOBILE,INE974X01010
TIMETECHNO,Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,INE508G01029
TIMKEN,Timken India Ltd.,INDUSTRIAL MANUFACTURING,INE325A01013
TITAN,Titan Company Ltd.,CONSUMER GOODS,INE280A01028
TNPL,Tamil Nadu Newsprint & Papers Ltd.,PAPER,INE107A01015
TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,INE685A01028
TORNTPOWER,Torrent Power Ltd.,ENERGY,INE813H01021
TRENT,Trent Ltd.,CONSUMER GOODS,INE849A01020
TRIDENT,Trident Ltd.,TEXTILES,INE064C01014
TTKPRESTIG,TTK Prestige Ltd.,CONSUMER GOODS,INE690A01010
TV18BRDCST,TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,INE886H01027
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,INE494B01023
TVSSRICHAK,TVS Srichakra Ltd.,AUTOMOBILE,INE421C01016
TVTODAY,TV Today Network Ltd.,MEDIA & ENTERTAINMENT,INE038F01029
UBL,United Breweries Ltd.,CONSUMER GOODS,INE686F01025
UCOBANK,UCO Bank,FINANCIAL SERVICES,INE691A01018
UFLEX,UFLEX Ltd.,INDUSTRIAL MANUFACTURING,INE516A01017
UJJIVAN,Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,INE334L01012
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,INE481G01011
UNICHEMLAB,Unichem Laboratories Ltd.,PHARMA,INE351A01035
UNIONBANK,Union Bank of India,FINANCIAL SERVICES,INE692A01016
UNITECH,Unitech Ltd.,CONSTRUCTION,INE694A01020
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,INE628A01036
VAKRANGEE,Vakrangee Ltd.,IT,INE051B01021
VBL,Varun Beverages Ltd.,CONSUMER GOODS,INE200M01013
VEDL,Vedanta Ltd.,METALS,INE205A01025
VGUARD,V-Guard Industries Ltd.,INDUSTRIAL MANUFACTURING,INE951I01027
VIJAYABANK,Vijaya Bank,FINANCIAL SERVICES,INE705A01016
VINATIORGA,Vinati Organics Ltd.,CHEMICALS,INE410B01029
VIPIND,V.I.P. Industries Ltd.,CONSUMER GOODS,INE054A01027
VOLTAS,Voltas Ltd.,CONSTRUCTION,INE226A01021
VRLLOG,VRL Logistics Ltd.,SERVICES,INE366I01010
VTL,Vardhman Textiles Ltd.,TEXTILES,INE825A01012
WABAG,Va Tech Wabag Ltd.,SERVICES,INE956G01038
WABCOINDIA,WABCO India Ltd.,AUTOMOBILE,INE342J01019
WELCORP,Welspun Corp Ltd.,METALS,INE191B01025
WELSPUNIND,Welspun India Ltd.,TEXTILES,INE192B01031
WHIRLPOOL,Whirlpool of India Ltd.,CONSUMER GOODS,INE716A01013
WIPRO,Wipro Ltd.,IT,INE075A01022
WOCKPHARMA,Wockhardt Ltd.,PHARMA,INE049B01025
YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,INE528G01027
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,INE256A01028
ZEELEARN,Zee Learn Ltd.,MEDIA & ENTERTAINMENT,INE565L01011
